State,Installed Capacity (MW)
DELAWARE,2
CONNECTICUT,5
NEW JERSEY,9
TENNESSEE,29
RHODE ISLAND,54
ALASKA,62
MASSACHUSETTS,113
VERMONT,149
NEVADA,152
NEW HAMPSHIRE,185
MARYLAND,191
HAWAII,206
NORTH CAROLINA,208
ARIZONA,268
UTAH,391
OHIO,617
WEST VIRGINIA,686
MONTANA,720
WISCONSIN,746
MAINE,923
MISSOURI,959
IDAHO,973
SOUTH DAKOTA,977
PENNSYLVANIA,1369
NEBRASKA,1445
WYOMING,1489
NEW MEXICO,1682
NEW YORK,1829
MICHIGAN,1904
INDIANA,2117
NORTH DAKOTA,2996
WASHINGTON,3075
COLORADO,3106
OREGON,3213
MINNESOTA,3699
ILLINOIS,4464
KANSAS,5110
CALIFORNIA,5686
IOWA,7312
OKLAHOMA,7495
TEXAS,23262
