Country,Annual or cumulative,Scenario,Type of installation,Year,Gross offshore installations 2018-2022,Gross offshore installations 2018-2022 ,Real MW to show
Austria,Gross installations,central,onshore,2018,,235,235
Austria,Gross installations,central,onshore,2019,,193.5,193.5
Austria,Gross installations,central,onshore,2020,,280,280
Austria,Gross installations,central,onshore,2021,,248.5,248.5
Austria,Gross installations,central,onshore,2022,,171,171
Austria,Gross installations,central,offshore,2018,0,,0
Austria,Gross installations,central,offshore,2019,0,,0
Austria,Gross installations,central,offshore,2020,0,,0
Austria,Gross installations,central,offshore,2021,0,,0
Austria,Gross installations,central,offshore,2022,0,,0
Belgium,Gross installations,central,onshore,2018,,300,300
Belgium,Gross installations,central,onshore,2019,,200,200
Belgium,Gross installations,central,onshore,2020,,200,200
Belgium,Gross installations,central,onshore,2021,,206,206
Belgium,Gross installations,central,onshore,2022,,202.5,202.5
Belgium,Gross installations,central,offshore,2018,270,,270
Belgium,Gross installations,central,offshore,2019,727,,727
Belgium,Gross installations,central,offshore,2020,246,,246
Belgium,Gross installations,central,offshore,2021,202,,202
Belgium,Gross installations,central,offshore,2022,0,,0
Bulgaria,Gross installations,central,onshore,2018,,0,0
Bulgaria,Gross installations,central,onshore,2019,,0,0
Bulgaria,Gross installations,central,onshore,2020,,0,0
Bulgaria,Gross installations,central,onshore,2021,,0,0
Bulgaria,Gross installations,central,onshore,2022,,0,0
Bulgaria,Gross installations,central,offshore,2018,0,,0
Bulgaria,Gross installations,central,offshore,2019,0,,0
Bulgaria,Gross installations,central,offshore,2020,0,,0
Bulgaria,Gross installations,central,offshore,2021,0,,0
Bulgaria,Gross installations,central,offshore,2022,0,,0
Croatia,Gross installations,central,onshore,2018,,54,54
Croatia,Gross installations,central,onshore,2019,,54,54
Croatia,Gross installations,central,onshore,2020,,54,54
Croatia,Gross installations,central,onshore,2021,,0,0
Croatia,Gross installations,central,onshore,2022,,0,0
Albania,Gross installations,central,offshore,2018,0,,0
Bosnia and Herzegovina,Gross installations,central,offshore,2018,0,,0
Croatia,Gross installations,central,offshore,2018,0,,0
Cyprus,Gross installations,central,offshore,2018,0,,0
Czech Republic,Gross installations,central,offshore,2018,0,,0
Denmark,Gross installations,central,offshore,2018,178,,178
Estonia,Gross installations,central,offshore,2018,0,,0
FYROM,Gross installations,central,offshore,2018,0,,0
Finland,Gross installations,central,offshore,2018,0,,0
France,Gross installations,central,offshore,2018,3.2,,3.2
Germany,Gross installations,central,offshore,2018,1093.8,,1093.8
Greece,Gross installations,central,offshore,2018,0,,0
Hungary,Gross installations,central,offshore,2018,0,,0
Ireland,Gross installations,central,offshore,2018,0,,0
Italy,Gross installations,central,offshore,2018,30,,30
Kosovo,Gross installations,central,offshore,2018,0,,0
Latvia,Gross installations,central,offshore,2018,0,,0
Lithuania,Gross installations,central,offshore,2018,0,,0
Luxembourg,Gross installations,central,offshore,2018,0,,0
Malta,Gross installations,central,offshore,2018,0,,0
Montenegro,Gross installations,central,offshore,2018,0,,0
Netherlands,Gross installations,central,offshore,2018,0,,0
Norway,Gross installations,central,offshore,2018,0,,0
Poland,Gross installations,central,offshore,2018,0,,0
Portugal,Gross installations,central,offshore,2018,0,,0
Romania,Gross installations,central,offshore,2018,0,,0
Russia,Gross installations,central,offshore,2018,0,,0
Serbia,Gross installations,central,offshore,2018,0,,0
Slovakia,Gross installations,central,offshore,2018,0,,0
Slovenia,Gross installations,central,offshore,2018,0,,0
Spain,Gross installations,central,offshore,2018,2,,2
Sweden,Gross installations,central,offshore,2018,0,,0
