Fiscal Year,Total Renewable Energy Resources,Installed Rooftop Solar Capacity Minus Losses (MW),Total Renewable Energy Purchased Annually (kWh),GreenChoice®  Sales (kWh),Renewable Energy to Fuel Charge (kWh),Wind (MW),Utility-Scale Solar (MW),Biomass (MW)
1/1/2006 0:00,6,1,662745030,606206182,54538848,,,
1/1/2007 0:00,5.8,1.4,649266500,634964958,14301542,,,
1/1/2008 0:00,6.6,2.3,797480831,730868214,66162617,,,
1/1/2009 0:00,10,3.5,1279082866,828592825,450490041,,,
1/1/2010 0:00,10,4.6,1245230733,862764289,382466444,,,
1/1/2011 0:00,10,6.2,1246081470,719458823,526622647,,,
1/1/2012 0:00,15,8.3,2082217224,744442709,1337774515,633.9,30,111.8
1/1/2013 0:00,21,13.5,2656952000,863956193,1794979367,850.9,30,111.8
1/1/2014 0:00,22,22.3,2895912363,683986607,2211925756,840.9,30,111.8
1/1/2015 0:00,23,27.5,3126034327,637462000,2488572327,1340.9,30,111.8
1/1/2016 0:00,29.8,43.4,3990199296,733070000,3257129296,1345.3,187.5,107.8
1/1/2017 0:00,36,50.8,,817202198,,1253.5,305.5,107.8
9/30/2017 0:00,36,50.8,,817202198,,1253.5,305.5,107.8
1/1/2018 0:00,,63,,758586254,,1219,465.6,107.8
9/30/2018 0:00,,63,,758586254,,1219,465.6,107.8
