State,Capacity
Delaware,2
Connecticut,5
New Jersey,9
Tennessee,29
Rhode Island,54
Alaska,62
Massachusetts,113
Vermont,149
Nevada,152
New Hampshire,185
Maryland,191
Hawaii,206
North Carolina,208
Arizona,268
Utah,391
Ohio,617
West Virginia,686
Montana,720
Wisconsin,746
Maine,923
Missouri,959
Idaho,973
South Dakota,977
Pennsylvania,1369
Nebraska,1445
Wyoming,1489
New Mexico,1682
New York,1829
Michigan,1904
Indiana,2117
North Dakota,2996
Washington,3075
Colorado,3106
Oregon,3213
Minnesota,3699
Illinois,4464
Kansas,5110
California,5686
Iowa,7312
Oklahoma,7495
Texas,23262
