date,name,value
1/1/2000,Austria,77
1/1/2000,Belgium,13
1/1/2000,Bulgaria,0
1/1/2000,Croatia,0
1/1/2000,Czech Republic,0
1/1/2000,Denmark,2417
1/1/2000,Finland,39
1/1/2000,France,66
1/1/2000,Germany,6113
1/1/2000,Greece,189
1/1/2000,Hungary,0
1/1/2000,Ireland,118
1/1/2000,Italy,427
1/1/2000,Lithuania,0
1/1/2000,Netherlands,446
1/1/2000,Poland,0
1/1/2000,Portugal,100
1/1/2000,Romania,0
1/1/2000,Spain,2235
1/1/2000,Sweden,231
1/1/2001,Austria,94
1/1/2001,Belgium,32
1/1/2001,Bulgaria,0
1/1/2001,Croatia,0
1/1/2001,Czech Republic,0
1/1/2001,Denmark,2489
1/1/2001,Finland,39
1/1/2001,France,93
1/1/2001,Germany,8754
1/1/2001,Greece,272
1/1/2001,Hungary,0
1/1/2001,Ireland,124
1/1/2001,Italy,682
1/1/2001,Lithuania,0
1/1/2001,Netherlands,486
1/1/2001,Poland,0
1/1/2001,Portugal,131
1/1/2001,Romania,0
1/1/2001,Spain,3337
1/1/2001,Sweden,293
1/1/2002,Austria,140
1/1/2002,Belgium,35
1/1/2002,Bulgaria,0
1/1/2002,Croatia,0
1/1/2002,Czech Republic,3
1/1/2002,Denmark,2889
1/1/2002,Finland,43
1/1/2002,France,148
1/1/2002,Germany,11994
1/1/2002,Greece,297
1/1/2002,Hungary,3
1/1/2002,Ireland,137
1/1/2002,Italy,788
1/1/2002,Lithuania,0
1/1/2002,Netherlands,693
1/1/2002,Poland,27
1/1/2002,Portugal,195
1/1/2002,Romania,0
1/1/2002,Spain,4825
1/1/2002,Sweden,345
1/1/2003,Austria,415
1/1/2003,Belgium,68
1/1/2003,Bulgaria,0
1/1/2003,Croatia,0
1/1/2003,Czech Republic,9
1/1/2003,Denmark,3116
1/1/2003,Finland,52
1/1/2003,France,257
1/1/2003,Germany,14609
1/1/2003,Greece,383
1/1/2003,Hungary,3
1/1/2003,Ireland,190
1/1/2003,Italy,905
1/1/2003,Lithuania,6
1/1/2003,Netherlands,910
1/1/2003,Poland,63
1/1/2003,Portugal,296
1/1/2003,Romania,1
1/1/2003,Spain,6203
1/1/2003,Sweden,399
1/1/2004,Austria,606
1/1/2004,Belgium,96
1/1/2004,Bulgaria,10
1/1/2004,Croatia,0
1/1/2004,Czech Republic,17
1/1/2004,Denmark,3118
1/1/2004,Finland,82
1/1/2004,France,390
1/1/2004,Germany,16629
1/1/2004,Greece,473
1/1/2004,Hungary,3
1/1/2004,Ireland,339
1/1/2004,Italy,1266
1/1/2004,Lithuania,6
1/1/2004,Netherlands,1079
1/1/2004,Poland,63
1/1/2004,Portugal,522
1/1/2004,Romania,1
1/1/2004,Spain,8264
1/1/2004,Sweden,442
1/1/2005,Austria,819
1/1/2005,Belgium,167
1/1/2005,Bulgaria,10
1/1/2005,Croatia,0
1/1/2005,Czech Republic,28
1/1/2005,Denmark,3128
1/1/2005,Finland,82
1/1/2005,France,757
1/1/2005,Germany,18415
1/1/2005,Greece,573
1/1/2005,Hungary,17
1/1/2005,Ireland,496
1/1/2005,Italy,1718
1/1/2005,Lithuania,48
1/1/2005,Netherlands,1219
