Rank,Country,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,,
1,Germany,64040,62580,60720,58850,55580,49430,44580,38610,33480,30830,28770,27180,25777,23897,22247,20622,18415,16629,14609,11994,8754,6113,,
2,Spain,28196,27264,25808,23494,23170,23026,22987,22986,22959,22796,21674,20676,19149,16689,15131,11623,10028,8264,6203,4825,3337,2235,,
3,France,19081,17949,16646,15309,13759,11670,10324,9285,8254,7196,6800,5660,4492,3404,2454,1567,757,390,257,148,93,66,,
4,Sweden,12097,9992,8985,7407,6691,6519,6029,5425,4470,3745,2907,2163,1560,1048,788,571,509,442,399,345,293,231,,
5,Italy,11108,10852,10512,9958,9479,9255,8973,8663,8551,8144,6747,5797,4850,3736,2726,2123,1718,1266,905,788,682,427,,
6,Netherlands,8165,6784,4600,4471,4341,4180,3391,2805,2693,2391,2328,2245,2229,2225,1747,1558,1219,1079,910,693,486,446,,
7,Denmark,7178,6180,6128,5758,5476,5242,5075,4845,4772,4162,3871,3752,3465,3163,3125,3136,3128,3118,3116,2889,2489,2417,,
8,Poland,7116,6614,5917,5864,6397,5782,5100,3834,3390,2497,1616,1107,725,544,276,153,83,63,63,27,0,0,,
9,Portugal,5612,5486,5437,5380,5316,5269,5034,4914,4724,4525,4083,3898,3535,2862,2150,1716,1022,522,296,195,131,100,,
10,Belgium,5002,4719,3879,3360,2843,2400,2169,1959,1651,1375,1078,911,563,415,287,194,167,96,68,35,32,13,,
11,Greece,4452,4113,3576,2844,2651,2374,2136,1980,1865,1749,1629,1208,1087,985,871,746,573,473,383,297,272,189,,
12,Ireland,4405,4351,4155,3564,3127,2765,2440,2272,2037,1738,1631,1428,1260,1027,795,746,496,339,190,137,124,118,,
13,Finland,3328,2586,2284,2041,2113,1533,1005,627,448,288,197,197,146,143,110,86,82,82,52,43,39,39,,
14,Austria,3300,3120,3159,3045,2828,2632,2404,2095,1684,1378,1084,1011,995,995,982,965,819,606,415,140,94,77,,
15,Romania,3029,3029,3029,3029,3029,3028,2976,2954,2599,1905,982,462,14,11,8,3,2,1,1,0,0,0,,
16,Croatia,990,803,652,583,583,466,462,347,339,180,131,89,28,0,0,0,0,0,0,0,0,0,,
17,Bulgaria,707,691,691,691,691,691,691,691,681,674,612,375,177,120,57,36,10,10,0,0,0,0,,
18,Lithuania,668,548,548,439,421,421,421,279,279,225,179,163,91,54,54,51,48,6,6,0,0,0,,
19,Czech Republic,337,337,337,317,308,281,281,281,269,260,217,215,192,150,116,54,28,17,9,3,0,0,,
20,Hungary,329,329,329,329,329,329,329,329,329,329,329,295,201,127,65,61,17,3,3,3,0,0,,
